Name,Technology,Location,Age,Owner,Capacity,Efficiency
CCGT Energy Producer G 22,CCGT,cweNode,22,Energy Producer G,516.90107881078,
CCGT Energy Producer H 23,CCGT,cweNode,23,Energy Producer H,423.884041723333,
CCGT Energy Producer E 24,CCGT,cweNode,24,Energy Producer E,424.129551426806,
CCGT Energy Producer F 25,CCGT,cweNode,25,Energy Producer F,389.389511324792,
CCGT Energy Producer G 26,CCGT,cweNode,26,Energy Producer G,203.09713758645,
CCGT Energy Producer H 27,CCGT,cweNode,27,Energy Producer H,576.381990876661,
CCGT Energy Producer E 28,CCGT,cweNode,28,Energy Producer E,296.839304126508,
CCGT Energy Producer F 29,CCGT,cweNode,29,Energy Producer F,1253.04121066079,
CCGT Energy Producer G 30,CCGT,cweNode,30,Energy Producer G,518.817611524297,
CCGT Energy Producer H 31,CCGT,cweNode,31,Energy Producer H,845.495380936831,
CCGT Energy Producer E 32,CCGT,cweNode,32,Energy Producer E,589.292798442626,
CCGT Energy Producer F 33,CCGT,cweNode,33,Energy Producer F,822.671041686481,
CCGT Energy Producer G 34,CCGT,cweNode,34,Energy Producer G,846.232466128118,
CCGT Energy Producer H 35,CCGT,cweNode,35,Energy Producer H,753.215429040671,
CCGT Energy Producer E 36,CCGT,cweNode,36,Energy Producer E,1452.90779644129,
CCGT Energy Producer F 37,CCGT,cweNode,37,Energy Producer F,1732.94178063882,
CCGT Energy Producer G 38,CCGT,cweNode,38,Energy Producer G,2141.20022799585,
CCGT Energy Producer H 39,CCGT,cweNode,39,Energy Producer H,2502.83935769608,
CCGT Energy Producer E 40,CCGT,cweNode,40,Energy Producer E,2398.17659701866,
OCGT Energy Producer E 1,OCGT,cweNode,1,Energy Producer E,636.666666666667,
OCGT Energy Producer F 2,OCGT,cweNode,2,Energy Producer F,636.666666666667,
OCGT Energy Producer G 3,OCGT,cweNode,3,Energy Producer G,664.666666666667,
OCGT Energy Producer H 4,OCGT,cweNode,4,Energy Producer H,664.666666666667,
OCGT Energy Producer E 8,OCGT,cweNode,8,Energy Producer E,1294.33508085952,
OCGT Energy Producer F 9,OCGT,cweNode,9,Energy Producer F,2320.3429309868,
OCGT Energy Producer G 10,OCGT,cweNode,10,Energy Producer G,163.762757348333,
OCGT Energy Producer H 11,OCGT,cweNode,11,Energy Producer H,571.904288702739,
OCGT Energy Producer E 12,OCGT,cweNode,12,Energy Producer E,764.38181092194,
OCGT Energy Producer F 13,OCGT,cweNode,13,Energy Producer F,776.156406253204,
OCGT Energy Producer G 14,OCGT,cweNode,14,Energy Producer G,548.944821801327,
OCGT Energy Producer H 15,OCGT,cweNode,15,Energy Producer H,1131.96044037935,
OCGT Energy Producer E 16,OCGT,cweNode,16,Energy Producer E,1301.1221868806,
OCGT Energy Producer F 17,OCGT,cweNode,17,Energy Producer F,1312.89678221186,
OCGT Energy Producer G 18,OCGT,cweNode,18,Energy Producer G,619.371073603221,
OCGT Energy Producer H 19,OCGT,cweNode,19,Energy Producer H,642.809604172904,
OCGT Energy Producer E 20,OCGT,cweNode,20,Energy Producer E,858.59664620028,
OCGT Energy Producer F 21,OCGT,cweNode,21,Energy Producer F,561.438012634997,
OCGT Energy Producer G 22,OCGT,cweNode,22,Energy Producer G,258.45053940539,
OCGT Energy Producer H 23,OCGT,cweNode,23,Energy Producer H,211.942020861667,
OCGT Energy Producer E 24,OCGT,cweNode,24,Energy Producer E,212.064775713403,
OCGT Energy Producer F 25,OCGT,cweNode,25,Energy Producer F,194.694755662396,
OCGT Energy Producer G 26,OCGT,cweNode,26,Energy Producer G,101.548568793225,
OCGT Energy Producer H 27,OCGT,cweNode,27,Energy Producer H,288.190995438331,
OCGT Energy Producer E 28,OCGT,cweNode,28,Energy Producer E,148.419652063254,
OCGT Energy Producer F 29,OCGT,cweNode,29,Energy Producer F,626.520605330393,
OCGT Energy Producer G 30,OCGT,cweNode,30,Energy Producer G,259.408805762149,
OCGT Energy Producer H 31,OCGT,cweNode,31,Energy Producer H,422.747690468416,
OCGT Energy Producer E 32,OCGT,cweNode,32,Energy Producer E,294.646399221313,
OCGT Energy Producer F 33,OCGT,cweNode,33,Energy Producer F,411.335520843241,
OCGT Energy Producer G 34,OCGT,cweNode,34,Energy Producer G,423.116233064059,
OCGT Energy Producer H 35,OCGT,cweNode,35,Energy Producer H,376.607714520336,
OCGT Energy Producer E 36,OCGT,cweNode,36,Energy Producer E,726.453898220646,
OCGT Energy Producer F 37,OCGT,cweNode,37,Energy Producer F,866.470890319412,
OCGT Energy Producer G 38,OCGT,cweNode,38,Energy Producer G,1070.60011399792,
OCGT Energy Producer H 39,OCGT,cweNode,39,Energy Producer H,1251.41967884804,
OCGT Energy Producer E 40,OCGT,cweNode,40,Energy Producer E,1199.08829850933,
HydroPower Energy Producer E 31,HydroPower,cweNode,31,Energy Producer E,2674.2,
HydroPower Energy Producer F 32,HydroPower,cweNode,32,Energy Producer F,2674.2,
HydroPower Energy Producer G 33,HydroPower,cweNode,33,Energy Producer G,2674.2,
HydroPower Energy Producer H 34,HydroPower,cweNode,34,Energy Producer H,2674.2,
HydroPower Energy Producer E 35,HydroPower,cweNode,35,Energy Producer E,2674.2,
HydroPower Energy Producer F 36,HydroPower,cweNode,36,Energy Producer F,2674.2,
HydroPower Energy Producer G 37,HydroPower,cweNode,37,Energy Producer G,2674.2,
HydroPower Energy Producer H 38,HydroPower,cweNode,38,Energy Producer H,2674.2,
HydroPower Energy Producer E 39,HydroPower,cweNode,39,Energy Producer E,2674.2,
HydroPower Energy Producer F 40,HydroPower,cweNode,40,Energy Producer F,2674.2,
Biogas Renewable Target Investor CWE 6,Biogas,cweNode,6,Renewable Target Investor CWE,693,
Biogas Renewable Target Investor CWE 4,Biogas,cweNode,4,Renewable Target Investor CWE,837.5,
Biogas Renewable Target Investor CWE 1,Biogas,cweNode,1,Renewable Target Investor CWE,837.5,
Biogas Renewable Target Investor CWE 0,Biogas,cweNode,0,Renewable Target Investor CWE,155,
Biogas Renewable Target Investor CWE -1,Biogas,cweNode,-1,Renewable Target Investor CWE,157,
Biogas Renewable Target Investor CWE -2,Biogas,cweNode,-2,Renewable Target Investor CWE,157,
Biogas Renewable Target Investor CWE -3,Biogas,cweNode,-3,Renewable Target Investor CWE,148,
Biomass Renewable Target Investor CWE 9,Biomass,cweNode,9,Renewable Target Investor CWE,606.75,
Biomass Renewable Target Investor CWE 8,Biomass,cweNode,8,Renewable Target Investor CWE,606.75,
Biomass Renewable Target Investor CWE 7,Biomass,cweNode,7,Renewable Target Investor CWE,606.75,
Biomass Renewable Target Investor CWE 6,Biomass,cweNode,6,Renewable Target Investor CWE,606.75,
Biomass Renewable Target Investor CWE 4,Biomass,cweNode,4,Renewable Target Investor CWE,320,
Biomass Renewable Target Investor CWE 3,Biomass,cweNode,3,Renewable Target Investor CWE,320,
Biomass Renewable Target Investor CWE 2,Biomass,cweNode,2,Renewable Target Investor CWE,320,
Biomass Renewable Target Investor CWE 1,Biomass,cweNode,1,Renewable Target Investor CWE,320,
Biomass Renewable Target Investor CWE 0,Biomass,cweNode,0,Renewable Target Investor CWE,153,
Biomass Renewable Target Investor CWE -1,Biomass,cweNode,-1,Renewable Target Investor CWE,157,
Biomass Renewable Target Investor CWE -2,Biomass,cweNode,-2,Renewable Target Investor CWE,123,
Biomass Renewable Target Investor CWE -3,Biomass,cweNode,-3,Renewable Target Investor CWE,113,
WindOffshore Renewable Target Investor CWE 1,WindOffshore,cweNode,1,Renewable Target Investor CWE,150,
WindOffshore Renewable Target Investor CWE 0,WindOffshore,cweNode,0,Renewable Target Investor CWE,282,
WindOffshore Renewable Target Investor CWE -1,WindOffshore,cweNode,-1,Renewable Target Investor CWE,360,
WindOffshore Renewable Target Investor CWE -2,WindOffshore,cweNode,-2,Renewable Target Investor CWE,510,
Wind Renewable Target Investor CWE 9,Wind,cweNode,9,Renewable Target Investor CWE,4603.75,
Wind Renewable Target Investor CWE 8,Wind,cweNode,8,Renewable Target Investor CWE,4603.75,
Wind Renewable Target Investor CWE 7,Wind,cweNode,7,Renewable Target Investor CWE,4603.75,
Wind Renewable Target Investor CWE 6,Wind,cweNode,6,Renewable Target Investor CWE,4603.75,
Wind Renewable Target Investor CWE 4,Wind,cweNode,4,Renewable Target Investor CWE,2277.75,
Wind Renewable Target Investor CWE 3,Wind,cweNode,3,Renewable Target Investor CWE,2277.75,
Wind Renewable Target Investor CWE 2,Wind,cweNode,2,Renewable Target Investor CWE,2277.75,
Wind Renewable Target Investor CWE 1,Wind,cweNode,1,Renewable Target Investor CWE,2277.75,
Wind Renewable Target Investor CWE 0,Wind,cweNode,0,Renewable Target Investor CWE,1649,
Wind Renewable Target Investor CWE -1,Wind,cweNode,-1,Renewable Target Investor CWE,1391,
Photovoltaic Renewable Target Investor CWE 7,Photovoltaic,cweNode,7,Renewable Target Investor CWE,1980,
Photovoltaic Renewable Target Investor CWE 5,Photovoltaic,cweNode,5,Renewable Target Investor CWE,3451,
Photovoltaic Renewable Target Investor CWE 4,Photovoltaic,cweNode,4,Renewable Target Investor CWE,3451,
Photovoltaic Renewable Target Investor CWE 3,Photovoltaic,cweNode,3,Renewable Target Investor CWE,3451,
Photovoltaic Renewable Target Investor CWE 2,Photovoltaic,cweNode,2,Renewable Target Investor CWE,3451,
Photovoltaic Renewable Target Investor CWE 1,Photovoltaic,cweNode,1,Renewable Target Investor CWE,4500,
Biogas Renewable Target Investor CWE 1,Biogas,cweNode,1,Renewable Target Investor CWE,164,
Biogas Renewable Target Investor CWE -2,Biogas,cweNode,-2,Renewable Target Investor CWE,94,
Biomass Renewable Target Investor CWE 1,Biomass,cweNode,1,Renewable Target Investor CWE,888,
Biomass Renewable Target Investor CWE 0,Biomass,cweNode,0,Renewable Target Investor CWE,66,
Biomass Renewable Target Investor CWE -1,Biomass,cweNode,-1,Renewable Target Investor CWE,67,
Biomass Renewable Target Investor CWE -2,Biomass,cweNode,-2,Renewable Target Investor CWE,170,
Biomass Renewable Target Investor CWE -3,Biomass,cweNode,-3,Renewable Target Investor CWE,170,
WindOffshore Renewable Target Investor CWE -1,WindOffshore,cweNode,-1,Renewable Target Investor CWE,667,
WindOffshore Renewable Target Investor CWE -2,WindOffshore,cweNode,-2,Renewable Target Investor CWE,666,
Wind Renewable Target Investor CWE 6,Wind,cweNode,6,Renewable Target Investor CWE,752,
Wind Renewable Target Investor CWE 4,Wind,cweNode,4,Renewable Target Investor CWE,1197.5,
Wind Renewable Target Investor CWE 3,Wind,cweNode,3,Renewable Target Investor CWE,1197.5,
Wind Renewable Target Investor CWE 2,Wind,cweNode,2,Renewable Target Investor CWE,1197.5,
Wind Renewable Target Investor CWE 1,Wind,cweNode,1,Renewable Target Investor CWE,1197.5,
Wind Renewable Target Investor CWE 0,Wind,cweNode,0,Renewable Target Investor CWE,1288,
Wind Renewable Target Investor CWE -1,Wind,cweNode,-1,Renewable Target Investor CWE,768,
Photovoltaic Renewable Target Investor CWE 2,Photovoltaic,cweNode,2,Renewable Target Investor CWE,504,
Photovoltaic Renewable Target Investor CWE 1,Photovoltaic,cweNode,1,Renewable Target Investor CWE,274,
Biogas Renewable Target Investor CWE 1,Biogas,cweNode,1,Renewable Target Investor CWE,216,
Biogas Renewable Target Investor CWE -2,Biogas,cweNode,-2,Renewable Target Investor CWE,87,
Biomass Renewable Target Investor CWE 6,Biomass,cweNode,6,Renewable Target Investor CWE,966,
Biomass Renewable Target Investor CWE 1,Biomass,cweNode,1,Renewable Target Investor CWE,275,
Biomass Renewable Target Investor CWE 0,Biomass,cweNode,0,Renewable Target Investor CWE,80,
Biomass Renewable Target Investor CWE -1,Biomass,cweNode,-1,Renewable Target Investor CWE,303,
Biomass Renewable Target Investor CWE -2,Biomass,cweNode,-2,Renewable Target Investor CWE,282,
Biomass Renewable Target Investor CWE -3,Biomass,cweNode,-3,Renewable Target Investor CWE,96,
WindOffshore Renewable Target Investor CWE -1,WindOffshore,cweNode,-1,Renewable Target Investor CWE,228,
WindOffshore Renewable Target Investor CWE -2,WindOffshore,cweNode,-2,Renewable Target Investor CWE,465,
Wind Renewable Target Investor CWE 6,Wind,cweNode,6,Renewable Target Investor CWE,1224,
Wind Renewable Target Investor CWE 1,Wind,cweNode,1,Renewable Target Investor CWE,769,
Wind Renewable Target Investor CWE -1,Wind,cweNode,-1,Renewable Target Investor CWE,734,
Photovoltaic Renewable Target Investor CWE 1,Photovoltaic,cweNode,1,Renewable Target Investor CWE,185,
Biogas Renewable Target Investor CWE 0,Biogas,cweNode,0,Renewable Target Investor CWE,131,
Biogas Renewable Target Investor CWE -3,Biogas,cweNode,-3,Renewable Target Investor CWE,64,
Biomass Renewable Target Investor CWE 6,Biomass,cweNode,6,Renewable Target Investor CWE,270,
Biomass Renewable Target Investor CWE 1,Biomass,cweNode,1,Renewable Target Investor CWE,228.4,
Biomass Renewable Target Investor CWE 0,Biomass,cweNode,0,Renewable Target Investor CWE,119,
Biomass Renewable Target Investor CWE -2,Biomass,cweNode,-2,Renewable Target Investor CWE,173.7,
Biomass Renewable Target Investor CWE -3,Biomass,cweNode,-3,Renewable Target Investor CWE,130.3,
WindOffshore Renewable Target Investor CWE 0,WindOffshore,cweNode,0,Renewable Target Investor CWE,205,
WindOffshore Renewable Target Investor CWE -1,WindOffshore,cweNode,-1,Renewable Target Investor CWE,298,
WindOffshore Renewable Target Investor CWE -2,WindOffshore,cweNode,-2,Renewable Target Investor CWE,357,
Wind Renewable Target Investor CWE 6,Wind,cweNode,6,Renewable Target Investor CWE,190,
Wind Renewable Target Investor CWE 0,Wind,cweNode,0,Renewable Target Investor CWE,621,
Photovoltaic Renewable Target Investor CWE 1,Photovoltaic,cweNode,1,Renewable Target Investor CWE,428.1,
CoalPSC Energy Producer D 11,CoalPSC,gbNode,11,Energy Producer D,137.019358151467,
CoalPSC Energy Producer B 13,CoalPSC,gbNode,13,Energy Producer B,137.340121009095,
CoalPSC Energy Producer C 14,CoalPSC,gbNode,14,Energy Producer C,473.796974622827,
CoalPSC Energy Producer D 15,CoalPSC,gbNode,15,Energy Producer D,185.727127221479,
CoalPSC Energy Producer A 16,CoalPSC,gbNode,16,Energy Producer A,450.105401614174,
CoalPSC Energy Producer B 17,CoalPSC,gbNode,17,Energy Producer B,89.9654782781475,
CoalPSC Energy Producer C 18,CoalPSC,gbNode,18,Energy Producer C,138.158326118684,
CoalPSC Energy Producer D 19,CoalPSC,gbNode,19,Energy Producer D,498.636018885055,
CoalPSC Energy Producer A 20,CoalPSC,gbNode,20,Energy Producer A,682.945695511083,
CoalPSC Energy Producer B 21,CoalPSC,gbNode,21,Energy Producer B,338.836120377268,
CoalPSC Energy Producer C 22,CoalPSC,gbNode,22,Energy Producer C,186.857591902337,
CoalPSC Energy Producer D 23,CoalPSC,gbNode,23,Energy Producer D,259.088285468229,
CoalPSC Energy Producer A 24,CoalPSC,gbNode,24,Energy Producer A,475.433621044404,
CoalPSC Energy Producer B 25,CoalPSC,gbNode,25,Energy Producer B,211.376109509336,
CoalPSC Energy Producer C 26,CoalPSC,gbNode,26,Energy Producer C,515.805571256882,
CoalPSC Energy Producer D 27,CoalPSC,gbNode,27,Energy Producer D,571.996940929405,
CoalPSC Energy Producer A 28,CoalPSC,gbNode,28,Energy Producer A,1532.99750213093,
CoalPSC Energy Producer B 29,CoalPSC,gbNode,29,Energy Producer B,1509.13728060951,
CoalPSC Energy Producer C 30,CoalPSC,gbNode,30,Energy Producer C,692.597634134965,
CoalPSC Energy Producer D 31,CoalPSC,gbNode,31,Energy Producer D,612.689417797112,
CoalPSC Energy Producer A 32,CoalPSC,gbNode,32,Energy Producer A,596.852755561951,
CoalPSC Energy Producer B 33,CoalPSC,gbNode,33,Energy Producer B,869.238055072991,
CoalPSC Energy Producer C 34,CoalPSC,gbNode,34,Energy Producer C,1221.70872272102,
CoalPSC Energy Producer D 35,CoalPSC,gbNode,35,Energy Producer D,477.230885097193,
CoalPSC Energy Producer A 36,CoalPSC,gbNode,36,Energy Producer A,573.473442124567,
CoalPSC Energy Producer B 37,CoalPSC,gbNode,37,Energy Producer B,893.908214620047,
CoalPSC Energy Producer C 38,CoalPSC,gbNode,38,Energy Producer C,838.020601232434,
CoalPSC Energy Producer D 39,CoalPSC,gbNode,39,Energy Producer D,654.039954547992,
CoalPSC Energy Producer A 40,CoalPSC,gbNode,40,Energy Producer A,1270.72001187354,
CoalPSC Energy Producer B 41,CoalPSC,gbNode,41,Energy Producer B,1839.37586987133,
CoalPSC Energy Producer C 42,CoalPSC,gbNode,42,Energy Producer C,1647.36316061426,
CoalPSC Energy Producer D 43,CoalPSC,gbNode,43,Energy Producer D,3136.82478140023,
CoalPSC Energy Producer B 45,CoalPSC,gbNode,45,Energy Producer B,1247.54312389196,
CoalPSC Energy Producer C 46,CoalPSC,gbNode,46,Energy Producer C,1583.97470384902,
CoalPSC Energy Producer D 47,CoalPSC,gbNode,47,Energy Producer D,751.429982828941,
CoalPSC Energy Producer A 48,CoalPSC,gbNode,48,Energy Producer A,735.585053509821,
